year,size,male,age,edu,edu1,edu2,edu3,edu4,mar,tenure,metro,oc1,oc2,oc3,oc4,ind1,ind2,ind3,ind4,ind5,ind6,ind7,ind8,non_regular,weektime,hourlywage,hourly_wage_r
2006,8,0,29,12,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,1,40,1,1
2002,8,1,33,12,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,70,0,1
2004,8,1,48,16,0,0,0,1,1,21,0,0,1,0,0,0,0,0,0,0,0,0,1,0,40,1,1
2004,8,1,33,16,0,0,0,1,1,8,0,0,1,0,0,0,0,0,1,0,0,0,0,0,48,1,1
2002,8,1,48,12,0,1,0,0,1,20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,50,1,1
2006,8,0,45,16,0,0,0,1,1,10,1,0,1,0,0,0,0,0,0,0,0,0,1,0,54,1,1
2005,8,1,48,16,0,0,0,1,1,22,0,0,1,0,0,0,1,0,0,0,0,0,0,0,40,2,2
2002,8,1,32,12,0,1,0,0,1,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,54,1,1
2006,8,1,40,16,0,0,0,1,1,13,0,0,1,0,0,0,0,0,0,0,0,0,1,0,40,1,2
2003,8,1,39,12,0,1,0,0,1,11,1,0,0,0,1,0,0,0,1,0,0,0,0,0,48,1,1
2005,8,1,42,12,0,1,0,0,1,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,56,1,1
2005,8,1,38,14,0,0,1,0,1,14,1,0,0,0,1,0,1,0,0,0,0,0,0,0,40,1,2
2002,8,1,27,12,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,84,0,1
2004,8,1,53,12,0,1,0,0,1,15,1,0,0,0,1,0,1,0,0,0,0,0,0,0,84,1,1
2004,8,1,42,12,0,1,0,0,0,10,0,0,0,0,1,0,0,0,0,0,0,0,1,0,40,1,1
2006,8,1,48,16,0,0,0,1,1,26,0,0,1,0,0,0,1,0,0,0,0,0,0,0,40,4,4
2005,8,1,37,16,0,0,0,1,1,10,1,0,0,1,0,0,0,0,0,0,0,0,1,0,48,2,2
2006,8,1,37,14,0,0,1,0,0,12,0,0,0,0,1,0,0,0,0,1,0,0,0,0,40,1,2
2003,8,1,36,16,0,0,0,1,1,12,0,0,1,0,0,0,1,0,0,0,0,0,0,0,44,1,1
2006,8,0,35,12,0,1,0,0,1,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,72,0,0
2006,8,1,38,12,0,1,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,1,1,72,1,1
2003,8,1,48,12,0,1,0,0,1,22,0,0,0,1,0,0,0,0,0,0,0,0,1,0,48,2,2
2003,8,1,42,16,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,45,1,2
2005,8,1,40,16,0,0,0,1,1,12,0,0,1,0,0,0,0,0,0,0,0,0,1,0,50,1,1
2003,8,0,48,9,1,0,0,0,1,7,1,0,0,0,1,0,0,0,0,0,1,0,0,0,80,0,0
2005,8,1,29,14,0,0,1,0,0,5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,40,1,1
2003,8,0,30,17,0,0,0,1,1,5,0,0,1,0,0,0,0,0,0,0,0,0,1,1,55,1,1
